question,option_0,option_1,option_2,option_3,ans
Meta se ssir l-elezzjoni bikrija mħabbra min Robert Abela?,Fit-tletin ta' Mejju,Fl-ewwel ta' Mejju,Fil-ħmistax ta' Ġunju,Fl-għaxra t' April,0
Lil min informa Robert Abela dwar ix-xogħljiet tal-parlament?,Lill-Kap tal-Oppożizzjoni,Lill-President Miriam Spiteri Debono,Lill-Kummissjoni Elettorali,Lill-Ispeaker tal-Kamra,1
X'kienet l-iskuża uffiċjali għas-sejħa ta' elezzjoni bikrija?,Kriżi ekonomika lokali,Protesti fit-toroq,Politika internazzjonali,Bidla fil-kostituzzjoni,2
Kemm kienet twila l-laqgħa bejn il-Prim Ministru u l-President?,Kienet laqgħa twila ħafna,Kienet laqgħa qasira,Il-laqgħa ma saritx,Kienet laqgħa ta' tlett ijiem,1
Liema kumpanija żar il-Kap tal-PN b'rabta ma' Jum il-ħaddiem?,Kumpanija tat-trasport,Fabbrika tal-ikel,Sptar privat,Kumpanija tas-servizzi finanzjarji,3
Liema lokalità kienet l-aktar milquta mis-silġ rari?,Il-Marsa,Ir-Rabat,Tas-Sliema,Birżebbuġa,1
X'tip ta' ikel soffra l-akbar ħsarat minħabba s-silġ?,"Basal, pastard u kaboċċi",Għeneb u tuffieħ biss,Patata u tadam,Ma saret l-ebda ħsara,0
Min spjega l-aspett meteoroloġiku tal-maltempata tas-silġ?,Il-Ministru Julia Farrugia,Is-Sindku tar-Rabat,Il-Professur Charles Galdies,Desire Grech,2
X'kien il-biża' ewlieni tal-ġenituri waqt il-maltempata?,Li ma jkunx hemm skola,Li s-soqfa ġarbu bil-piż tas-silġ,Li jispiċċa l-ikel,Li ma jkunx hemm internet,1
Min kien qed jindirizza attività fir-Rabat Għawdex?,Robert Abela,Alex Borg,Miriam Spiteri Debono,Matthew Polidano,1
Fejn saret l-attività indirizzata mill-Kap tal-Partit Nazzjonalista?,Il-Belt Valletta,Il-Mosta,Ir-Rabat Għawdex,Birkirkara,2
X’enfasizza Alex Borg dwar il-Partit Nazzjonalista?,Li huwa ta’ kulħadd,Li huwa magħluq għal ftit nies biss,Li m’għandux interess f’Għawdex,Li se jieqaf jaħdem,0
Lil min qal Alex Borg li għandu għal qalbu?,Lil Malta u Għawdex,Lil pajjiżi barranin biss,Lill-kumpaniji lokali biss,Lill-oppożizzjoni biss,0
X’qal Alex Borg dwar ix-xogħol?,Li mhux importanti,Li għandu jitnaqqas,Li huwa dritt fundamentali,Li għandu jkun biss fis-settur pubbliku,2
Ma’ liema kumpanija internazzjonali ssemmew diskussjonijiet?,Microsoft,Google,Amazon,Meta,1
X’proposta ssemmiet għall-istabbilimenti tal-catering?,Żieda fil-VAT għal 18%,Tneħħija tal-ħaddiema kollha,Għeluq tal-istabbilimenti,Tnaqqis tal-VAT għal 7%,3
X’wegħed gvern Nazzjonalista dwar l-isptar f’Għawdex?,Li jibni sptar ġdid,Li jagħlaq l-isptar,Li jnaqqas is-servizzi,Li jmexxih barra minn Għawdex,0
X’wegħda ssemmiet dwar il-vapuri bejn Malta u Għawdex?,Flotta ġdida ta’ vapuri,Tneħħija tal-vapuri,Vapuri għall-merkanzija biss,Servizz darba fil-ġimgħa,0
Fuq liema settur qal Alex Borg li se jsir investiment radikali?,L-edukazzjoni,L-isport biss,Il-kaċċa,It-toroq biss,0
Fejn irid Alex Borg li l-Għawdxin ikunu jistgħu jistudjaw?,Ġewwa Għawdex,Barra minn Malta biss,Fuq vapuri,Fil-Belt Valletta biss,0
X’qal Alex Borg dwar in-negozji ż-żgħar?,Li se jżidilhom il-burokrazija,Li għandhom jingħalqu,Li ma għandhomx bżonn għajnuna,Li se jeliminalhom il-burokrazija żejda,3
Min ippreżenta l-bullettin tal-aħbarijiet?,Alex Borg,Robert Abela,Matthew Polidano,Il-President,2
X’qal Alex Borg dwar il-fiduċja tal-poplu?,Li ma għandux bżonnha,Li rrifjutaha,Li kienet bla importanza,Li talabha sabiex jimxu flimkien,3
X’kienet il-kariga li semma Alex Borg li kellu qabel bħala deputat?,Kelliem għal Għawdex,Ministru tal-Finanzi,President tal-Parlament,Kummissarju Elettorali,0
X’aħbar pożittiva ssemmiet dwar il-Belt Victoria?,Li se tkun il-belt kapitali Ewropea,Li se tingħalaq għat-traffiku kollu,Li se titlef l-istatus tagħha,Li se ssir parti minn Malta,0
X’qal Alex Borg li gvern Nazzjonalista se joħloq f’Għawdex?,Aktar xogħol,Inqas opportunitajiet,Inqas edukazzjoni,Inqas trasport,0
Għal min qal Alex Borg li gvern Nazzjonalista ser jaħdem?,Għall-ġid tal-familji Maltin u Għawdxin,Għall-partit biss,Għall-kumpaniji barranin biss,Għall-politiċi biss,0
X’għamel Alex Borg lejn dawk li l-Partit Nazzjonalista seta’ weġġa’ jew nesa?,Talabhom skuża,Injorahom,Kritikahom,Keċċiehom mill-partit,0
X’qal Alex Borg dwar il-viżjoni ta’ Malta fl-Unjoni Ewropea?,Li kienet żball,Li kienet viżjoni ta’ gvern Nazzjonalista,Li ma kellhiex x’taqsam ma’ Għawdex,Li għandha titneħħa,1
Min qal li d-domandi tal-ġurnalisti dwar trasport tal-massa kienu redikoli?,Julia Farrugia,Alex Borg,Marija Borg,Miriam Dalli,3
Lil min ingħatat l-aħħar tislima fil-bulettin?,Carmelina,Miriam Dalli,Desire Grech,Mary Grech,3
Kemm kellha żmien Carmelina meta ġiet iċċelebrata fl-aħbarijiet?,99 sena,100 sena,101 sena,102 sena,2
Min kien qed jippreżenta l-bulettin tal-aħbarijiet ewlieni?,Matthew Polidano,Marija Borg,Desire Grech,Alex Borg,2
Min qal li ma kien hemm l-ebda urġenza għal elezzjoni bikrija?,Alex Sciberras,Alex Agius Saliba,Robert Abela,Ian Borg,1
Min kien President tal-Partit Laburista li qal li elezzjoni bikrija tkun immatura?,Alex Agius Saliba,Robert Abela,Alex Sciberras,Glenn Bedingfield,2
Fejn kienet tinsab Marija Borg waqt il-kollegament dirett?,Kastilja,Quddiem il-Parlament,Quddiem il-Palazz ta' San Anton,Id-Dar Ċentrali tal-PL,2
Kemm-il minuta qabel kien wasal il-Prim Ministru fil-palazz skont Marija Borg?,5 minuti,20 minuta,30 minuta,10 minuti,3
X'għamlu l-ġurnalisti wara l-laqgħa bejn il-Prim Ministru u l-President?,Irċevew konferenza tal-aħbarijiet,Ġew mistiedna fil-palazz,Tħallew mingħajr aktar informazzjoni,Intervistaw lill-President,2
Liema jum kien se jiġi ċċelebrat ftit tal-jiem wara skont il-bulettin?,Jum l-Indipendenza,Jum ir-Repubblika,Jum il-Ħelsien,Jum il-Ħaddiem,3
Liema żoni oħra minbarra r-Rabat issemmew bħala milquta mis-silġ?,Marsaxlokk u Birżebbuġa,Baħrija u Mtarfa,Naxxar u Mosta,Qormi u Żebbuġ,1
X'bnew it-tfal bis-silġ fir-Rabat?,Kastell tas-silġ,Dgħajsa tas-silġ,Fortizza tas-silġ,Snowman,3
X'kienet waħda mill-biżgħat tal-ġenituri waqt il-maltempata?,Nuqqas ta' elettriku,Li jċedu s-soqfa,Għeluq tal-iskejjel,Nuqqas ta' ilma,1
Liema struttura tal-bidwi spiċċat infaqgħet minħabba s-silġ?,Serra,Garaxx,Maħżen,Ġiebja,3
Liema ministru appellat lill-bdiewa affettwati biex jagħmlu kuntatt mal-awtoritajiet?,Miriam Dalli,Julia Farrugia,Justyne Caruana,Clyde Caruana,1
"Minbarra l-Protezzjoni Ċivili, liema entitajiet kienu qed jgħinu fit-tindif?",ARMS u Enemalta,Infrastructure Malta biss,Cleansing Department u Transport Malta,MCAST u ITS,2
"Skont il-Professur Charles Galdies, x'kienet qed iġġib magħha s-sistema ta' pressjoni baxxa?",Arja sħuna min-Nofsinhar,Trab mis-Saħara,Riħ mill-Punent biss,Arja kiesħa mit-Tramuntana,3
Għaliex is-silġ dam aktar ma jdub fir-Rabat?,Għax hemm aktar traffiku,Għax hemm aktar bini,Għax jinsab qrib il-baħar,Għax iż-żona hija aktar għolja u kiesħa,3
X'iddeskriva l-Professur Charles Galdies dwar l-avveniment tas-silġ?,Avveniment komuni,Avveniment irrilevanti,Avveniment annwali,Avveniment estrem u mhux tas-soltu,3
Min irrapporta s-servizz dwar il-maltempata tas-silġ?,Luigi Sgendo,Charles Galdies,Desire Grech,Cars Galea,0
F'liema parti tal-gżira kienu l-aktar żoni milquta mis-silġ?,Fin-nofsinhar tal-gżira,Fil-lvant tal-gżira,Fil-punent tal-gżira,F'Għawdex biss,2
X'għamlu t-tfal meta sabu s-silġ fir-Rabat?,Marru l-iskola,Baqgħu ġewwa,Għamlu snowman u lagħbu,Marru jaħdmu mal-bdiewa,2
X'kienet waħda mill-problemi li semmew il-ġenituri?,Nuqqas ta' dawl,Nuqqas ta' internet,Għeluq tat-toroq,Ammont kbir ta' ilma fil-garaxxijiet,3
X'kien qed jolqot il-faċċata tad-djar matul il-maltemp?,Xita biss,Riħ biss,Is-silġ,Trab,2
Min kien il-bidwi intervistat fis-servizz?,Cars Galea,Charles Galdies,Luigi Sgendo,Alex Borg,0
X'kien hemm fil-ġiebja qabel ma nfaqgħet?,Tajn,Ġebel,Silġ,Karozzi,2
Liema dipartiment għen flimkien mal-Protezzjoni Ċivili?,Jobsplus,Identity Malta,Planning Authority,Cleansing Department,3
Ma' min ġew imħeġġa jikkuntattjaw il-bdiewa affettwati?,Agriconnect,ARMS,Jobsplus,MCAST,0
"Skont il-professur, minn fejn kienet ġejja l-arja kiesħa?",Mil-Lvant,Mit-Tramuntana,Mill-Punent,Min-Nofsinhar,1
Għaliex ir-Rabat ġie milqut aktar minn lokalitajiet oħra?,Għax jinsab qrib il-port,Għax għandu aktar popolazzjoni,Għax jinsab f'żona aktar għolja u kiesħa,Għax għandu aktar siġar,2
